window_id,category,cut3r_trained_iou,cut3r_random_iou,dinov2_iou,delta_cut3r_trained_minus_cut3r_random,delta_cut3r_trained_minus_dinov2,delta_cut3r_random_minus_dinov2
window-69763d8db32284f09210,microwave,0.8446969696969697,0.02027027027027027,0.48725212464589235,0.8244266994266994,0.3574448450510774,-0.46698185437562206
window-6a864f081822db80b442,baseballbat,0.8947368421052632,0.1346153846153846,0.68,0.7601214574898786,0.21473684210526311,-0.5453846153846155
window-6f127747fa1d7647badb,chair,0.9547325102880658,0.052,0.8553846153846154,0.9027325102880658,0.09934789490345042,-0.8033846153846154
window-7846ed83c2106f2e1041,toytruck,0.6513761467889908,0.29770992366412213,0.625,0.3536662231248687,0.026376146788990806,-0.32729007633587787
window-7a695a2356e6b5db4de3,teddybear,0.9659090909090909,0.5485714285714286,0.9617021276595744,0.41733766233766234,0.0042069632495165266,-0.4131306990881458
window-7b8eae799dc0fb6427ab,mouse,0.9230769230769231,0.7777777777777778,0.9310344827586207,0.14529914529914534,-0.007957559681697535,-0.15325670498084287
window-7d1cdadeef4312355c6c,toyplane,0.2169811320754717,0.0,0.8235294117647058,0.2169811320754717,-0.6065482796892341,-0.8235294117647058
window-7dd7f7bb9dec0001b3d6,cake,0.4271356783919598,0.5196850393700787,0.5408163265306123,-0.09254936097811889,-0.11368064813865247,-0.021131287160533585
window-7ef81acb3fdb593aa42a,chair,0.90625,0.5287958115183246,0.782258064516129,0.37745418848167545,0.123991935483871,-0.25346225299780445
window-7f18367f34a6a43538c2,plant,0.9666666666666667,0.5572916666666666,0.885593220338983,0.40937500000000004,0.08107344632768365,-0.3283015536723164
window-7f475dadcc25ef9cae99,sandwich,0.6,0.25316455696202533,0.9313725490196079,0.34683544303797464,-0.3313725490196079,-0.6782079920575825
window-806a3cc6651335e96b97,mouse,0.15315315315315314,0.0,0.7419354838709677,0.15315315315315314,-0.5887823307178146,-0.7419354838709677
window-83ecaa6c3ea798e38de2,stopsign,0.7333333333333333,0.43902439024390244,0.8666666666666667,0.29430894308943084,-0.13333333333333341,-0.42764227642276426
window-8583be74286d721a6b2b,baseballbat,0.7727272727272727,0.5,0.68,0.2727272727272727,0.09272727272727266,-0.18000000000000005
window-88e2f9ef0059b36ec3e4,bench,0.900523560209424,0.7268518518518519,0.8801652892561983,0.17367170835757217,0.020358270953225732,-0.15331343740434644
window-8babe6d64674c1578755,bowl,0.8586387434554974,0.0,0.9814814814814815,0.8586387434554974,-0.12284273802598411,-0.9814814814814815
window-8d39b2278fd2b6ebb38e,microwave,0.17486338797814208,0.0,0.2087378640776699,0.17486338797814208,-0.03387447609952782,-0.2087378640776699
window-8ef4f72d3745f1ef982f,mouse,0.8444444444444444,0.29770992366412213,0.8545454545454545,0.5467345207803223,-0.010101010101010055,-0.5568355308813324
window-900776870cc8271013c5,microwave,1.0,0.002369668246445498,0.9324324324324325,0.9976303317535545,0.06756756756756754,-0.930062764185987
window-9210a1ae84d93e66cf51,stopsign,0.6451612903225806,0.0,0.7396449704142012,0.6451612903225806,-0.09448368009162056,-0.7396449704142012
